range,number,percentage(%),cumulative-percentage(%)
"[0, 10]",12527,0.06,0.06
"[11, 50]",511697,2.52,2.58
"[51, 100]",1800359,8.85,11.43
"[101, 200]",3756513,18.47,29.90
"[201, 500]",6876068,33.81,63.71
"[501, 1024]",4519766,22.22,85.94
"[1025, 2048]",1849207,9.09,95.03
"[2049, 4096]",603531,2.97,98.00
"[4097, 8192]",210114,1.03,99.03
"[8193, 12288]",48472,0.24,99.27
"[12289, 16384]",18762,0.09,99.36
"[16385, 24576]",33780,0.17,99.53
"[24577, 32768]",18271,0.09,99.62
"[32769, 49152]",32477,0.16,99.78
"[49153, 65536]",34829,0.17,99.95
"[65537, 131072]",1219,0.01,99.96
"[131073, 196608]",2960,0.01,99.97
"[196608, 393216]",5292,0.03,100.00
"[393216, 475862]",842,0.00,100.00
